131	134	NaN
-48.9958809	46.0019193327	-67.5394035911
-48.9917612281	46.0038386507	-67.7171454173
-48.9876409841	46.005757954	-67.8690976093
-48.9835201681	46.0076772424	-67.4138480081
-48.9793987799	46.0095965161	-67.0062252933
-48.9752768194	46.0115157748	-66.9921117877
-48.9711542867	46.0134350187	-67.0056763784
-48.9670311815	46.0153542475	-67.0581260833
-48.9629075039	46.0172734613	-67.0846967238
-48.9587832537	46.01919266	-66.6760071992
-48.9546584309	46.0211118435	-66.0189818257
-48.9505330354	46.0230310119	-65.9086036564
-48.9464070671	46.024950165	-65.9966551717
-48.942280526	46.0268693029	-66.0095316304
-48.9381534119	46.0287884253	-66.0009131184
-48.9340257249	46.0307075324	-65.9920489832
-48.9298974647	46.032626624	-65.9854222941
-48.9257686314	46.0345457002	-66.261661258
-48.9216392248	46.0364647607	-66.8603001717
-48.917509245	46.0383838057	-67.1176186717
-48.9133786917	46.040302835	-67.0780138159
-48.909247565	46.0422218486	-67.0785469953
-48.9051158648	46.0441408465	-67.0760922275
-48.9009835909	46.0460598285	-67.0279711207
-48.8968507433	46.0479787947	-66.8133983478
-48.892717322	46.049897745	-66.5058683617
-48.8885833268	46.0518166793	-66.7740797228
-48.8844487577	46.0537355976	-67.0676212644
-48.8803136146	46.0556544998	-66.9939513992
-48.8761778974	46.0575733859	-67.183501581
-48.872041606	46.0594922558	-67.7147684919
-48.8679047405	46.0614111096	-67.6881169862
-48.8637673006	46.063329947	-67.0650806781
-48.8596292863	46.0652487681	-67.2019799983
-48.8554906976	46.0671675729	-67.3952901031
-48.8513515343	46.0690863612	-67.4546306841
-48.8472117965	46.071005133	-67.8700024362
-48.8430714839	46.0729238883	-67.8583798307
-48.8389305966	46.0748426271	-67.5300477417
-48.8347891344	46.0767613492	-67.2524455376
-48.8306470973	46.0786800546	-67.034702857
-48.8265044853	46.0805987433	-66.9545173085
-48.8223612981	46.0825174151	-66.7025747464
-48.8182175358	46.0844360702	-66.2097322568
-48.8140731983	46.0863547083	-66.0404483024
-48.8099282855	46.0882733296	-65.9847570209
-48.8057827973	46.0901919338	-65.9993317922
-48.8016367336	46.0921105209	-65.9168679928
-48.7974900944	46.094029091	-65.8544380671
-48.7933428797	46.0959476439	-66.0070447439
-48.7891950892	46.0978661796	-66.0383564671
-48.785046723	46.0997846981	-66.122538369
-48.7808977809	46.1017031993	-66.6209123437
-48.7767482629	46.1036216831	-67.0342260503
-48.772598169	46.1055401494	-67.0560358726
-48.768447499	46.1074585984	-67.1058098112
-48.7642962528	46.1093770298	-67.5572312176
-48.7601444304	46.1112954436	-67.9889814345
-48.7559920317	46.1132138399	-68.0652248584
-48.7518390567	46.1151322184	-68.2856829849
-48.7476855052	46.1170505793	-68.57120833
